Material,Angle,Sunlight_Intensity,Temperature,Output
mono,0.0,200.0,10.0,43.0
mono,0.0,200.0,17.5,41.5
mono,0.0,200.0,25.0,40.0
mono,0.0,200.0,32.5,38.5
mono,0.0,200.0,40.0,37.00000000000001
mono,0.0,400.0,10.0,86.0
mono,0.0,400.0,17.5,83.0
mono,0.0,400.0,25.0,80.0
mono,0.0,400.0,32.5,77.0
mono,0.0,400.0,40.0,74.00000000000001
mono,0.0,600.0,10.0,129.0
mono,0.0,600.0,17.5,124.50000000000001
mono,0.0,600.0,25.0,120.0
mono,0.0,600.0,32.5,115.5
mono,0.0,600.0,40.0,111.00000000000001
mono,0.0,800.0,10.0,172.0
mono,0.0,800.0,17.5,166.0
mono,0.0,800.0,25.0,160.0
mono,0.0,800.0,32.5,154.0
mono,0.0,800.0,40.0,148.00000000000003
mono,0.0,1000.0,10.0,215.0
mono,0.0,1000.0,17.5,207.50000000000003
mono,0.0,1000.0,25.0,200.0
mono,0.0,1000.0,32.5,192.5
mono,0.0,1000.0,40.0,185.00000000000003
mono,10.0,200.0,10.0,42.34673337952494
mono,10.0,200.0,17.5,40.86952175000663
mono,10.0,200.0,25.0,39.39231012048832
mono,10.0,200.0,32.5,37.91509849097001
mono,10.0,200.0,40.0,36.4378868614517
mono,10.0,400.0,10.0,84.69346675904988
mono,10.0,400.0,17.5,81.73904350001327
mono,10.0,400.0,25.0,78.78462024097664
mono,10.0,400.0,32.5,75.83019698194002
mono,10.0,400.0,40.0,72.8757737229034
mono,10.0,600.0,10.0,127.04020013857483
mono,10.0,600.0,17.5,122.60856525001991
mono,10.0,600.0,25.0,118.17693036146497
mono,10.0,600.0,32.5,113.74529547291003
mono,10.0,600.0,40.0,109.3136605843551
mono,10.0,800.0,10.0,169.38693351809977
mono,10.0,800.0,17.5,163.47808700002653
mono,10.0,800.0,25.0,157.56924048195327
mono,10.0,800.0,32.5,151.66039396388004
mono,10.0,800.0,40.0,145.7515474458068
mono,10.0,1000.0,10.0,211.73366689762472
mono,10.0,1000.0,17.5,204.3476087500332
mono,10.0,1000.0,25.0,196.9615506024416
mono,10.0,1000.0,32.5,189.57549245485004
mono,10.0,1000.0,40.0,182.18943430725852
mono,20.0,200.0,10.0,40.406782693794064
mono,20.0,200.0,17.5,38.9972437626152
mono,20.0,200.0,25.0,37.58770483143634
mono,20.0,200.0,32.5,36.178165900257476
mono,20.0,200.0,40.0,34.76862696907862
mono,20.0,400.0,10.0,80.81356538758813
mono,20.0,400.0,17.5,77.9944875252304
mono,20.0,400.0,25.0,75.17540966287268
mono,20.0,400.0,32.5,72.35633180051495
mono,20.0,400.0,40.0,69.53725393815724
mono,20.0,600.0,10.0,121.22034808138218
mono,20.0,600.0,17.5,116.99173128784561
mono,20.0,600.0,25.0,112.76311449430901
mono,20.0,600.0,32.5,108.53449770077242
mono,20.0,600.0,40.0,104.30588090723585
mono,20.0,800.0,10.0,161.62713077517625
mono,20.0,800.0,17.5,155.9889750504608
mono,20.0,800.0,25.0,150.35081932574536
mono,20.0,800.0,32.5,144.7126636010299
mono,20.0,800.0,40.0,139.07450787631447
mono,20.0,1000.0,10.0,202.03391346897033
mono,20.0,1000.0,17.5,194.98621881307602
mono,20.0,1000.0,25.0,187.9385241571817
mono,20.0,1000.0,32.5,180.89082950128739
mono,20.0,1000.0,40.0,173.84313484539308
mono,30.0,200.0,10.0,37.239092362730865
mono,30.0,200.0,17.5,35.94005425705421
mono,30.0,200.0,25.0,34.64101615137755
mono,30.0,200.0,32.5,33.34197804570089
mono,30.0,200.0,40.0,32.04293994002424
mono,30.0,400.0,10.0,74.47818472546173
mono,30.0,400.0,17.5,71.88010851410841
mono,30.0,400.0,25.0,69.2820323027551
mono,30.0,400.0,32.5,66.68395609140178
mono,30.0,400.0,40.0,64.08587988004848
mono,30.0,600.0,10.0,111.71727708819259
mono,30.0,600.0,17.5,107.82016277116263
mono,30.0,600.0,25.0,103.92304845413264
mono,30.0,600.0,32.5,100.02593413710267
mono,30.0,600.0,40.0,96.1288198200727
mono,30.0,800.0,10.0,148.95636945092346
mono,30.0,800.0,17.5,143.76021702821683
mono,30.0,800.0,25.0,138.5640646055102
mono,30.0,800.0,32.5,133.36791218280356
mono,30.0,800.0,40.0,128.17175976009696
mono,30.0,1000.0,10.0,186.19546181365433
mono,30.0,1000.0,17.5,179.70027128527104
mono,30.0,1000.0,25.0,173.20508075688775
mono,30.0,1000.0,32.5,166.70989022850446
mono,30.0,1000.0,40.0,160.21469970012117
mono,40.0,200.0,10.0,32.93991105411605
mono,40.0,200.0,17.5,31.790844389437588
mono,40.0,200.0,25.0,30.64177772475912
mono,40.0,200.0,32.5,29.492711060080655
mono,40.0,200.0,40.0,28.34364439540219
mono,40.0,400.0,10.0,65.8798221082321
mono,40.0,400.0,17.5,63.581688778875176
mono,40.0,400.0,25.0,61.28355544951824
mono,40.0,400.0,32.5,58.98542212016131
mono,40.0,400.0,40.0,56.68728879080438
mono,40.0,600.0,10.0,98.81973316234816
mono,40.0,600.0,17.5,95.37253316831277
mono,40.0,600.0,25.0,91.92533317427736
